source_file,puzzle_file,puzzle_name,difficulty,algorithm,solved,solution_length,states_explored,max_memory_kb,time_seconds
results/medium_7_Greedy_20260411_202632.txt,puzzles/medium/medium_7.txt,medium_7.txt,Medium,Greedy,True,16,17,40.2890625,0.00676063499997781
results/medium_21_DFS_20260411_195740.txt,puzzles/medium/medium_21.txt,medium_21.txt,Medium,DFS,True,200,2051,3239.015625,0.22849206300452352
results/easy_15_IDDFS_20260411_184408.txt,puzzles/easy/easy_15.txt,easy_15.txt,Easy,IDDFS,True,7,15609,100.6875,0.8368908069969621
results/easy_13_DFS_20260411_180513.txt,puzzles/easy/easy_13.txt,easy_13.txt,Easy,DFS,True,88,89,317.7109375,0.013221450994024053
results/medium_20_Greedy_20260411_203142.txt,puzzles/medium/medium_20.txt,medium_20.txt,Medium,Greedy,True,25,26,104.046875,0.017019573000197852
results/medium_22_UCS_20260411_201530.txt,puzzles/medium/medium_22.txt,medium_22.txt,Medium,UCS,True,16,61518,49793.8671875,3.7665277879999906
results/hard_22_Greedy_20260411_213019.txt,puzzles/hard/hard_22.txt,hard_22.txt,Hard,Greedy,True,55,56,458.5703125,0.02525534799997331
results/medium_14_UCS_20260411_195330.txt,puzzles/medium/medium_14.txt,medium_14.txt,Medium,UCS,True,16,72634,54242.8984375,5.902849913996761
results/hard_4_WAstar_W_1_5_20260411_212728.txt,puzzles/hard/hard_4.txt,hard_4.txt,Hard,WA* (W=1.5),True,35,36,250.78125,0.01974851799991484
results/easy_21_BFS_20260411_184520.txt,puzzles/easy/easy_21.txt,easy_21.txt,Easy,BFS,True,11,776,514.328125,0.1165252749924548
results/medium_13_Astar_20260411_204327.txt,puzzles/medium/medium_13.txt,medium_13.txt,Medium,A*,True,16,17,40.6875,0.008160275000136608
results/medium_21_WAstar_W_1_5_20260411_200307.txt,puzzles/medium/medium_21.txt,medium_21.txt,Medium,WA* (W=1.5),True,29,30,174.609375,0.06847143199411221
results/easy_15_BFS_20260411_184307.txt,puzzles/easy/easy_15.txt,easy_15.txt,Easy,BFS,True,7,443,446.546875,0.07501033900189213
results/medium_2_BFS_20260411_204428.txt,puzzles/medium/medium_2.txt,medium_2.txt,Medium,BFS,True,13,7665,7019.6484375,1.302901262999967
results/easy_18_Astar_20260411_183055.txt,puzzles/easy/easy_18.txt,easy_18.txt,Easy,A*,True,13,14,28.140625,0.010408715999801643
results/medium_2_DFS_20260411_204443.txt,puzzles/medium/medium_2.txt,medium_2.txt,Medium,DFS,True,140,141,575.6875,0.040115733000220644
